,Player Name,Average,Matches
388,H M Nicholls,157.4468085106383,47
389,J M Vince,142.10526315789474,19
390,M D Shanaka,0.0,5
391,M D K J Perera,100.0,17
392,Mohammad Amir,48.64864864864865,37
393,J T Ball,33.33333333333333,6
394,D M de Silva,213.0434782608696,46
395,P A D L R Sandakan,22.22222222222222,18
396,C J Chibhabha,100.0,1
397,P S Masvaure,300.0,2
398,A G Cremer*,181.8181818181818,11
399,M T Chinouya,0.0,1
400,K S Williamson*,300.0,44
401,R Chandrika,0.0,1
402,R L Chase,179.16666666666669,48
403,S O Dowrich,154.76190476190476,42
404,M L Cummins,17.647058823529413,17
405,M V T Fernando,0.0,9
406,J M Holland,0.0,8
407,A S Joseph,12.5,16
408,Iftikhar Ahmed,25.0,4
409,F du Plessis*,172.8813559322034,59
410,L Ronchi,200.0,4
411,Babar Azam,226.19047619047618,42
412,Mohammad Nawaz,100.0,4
413,S D Hope,100.0,4
414,Sabbir Rahman,115.38461538461537,13
415,Mehidy Hasan Miraz,92.85714285714286,28
416,Kamrul Islam Rabbi,33.33333333333333,9
417,B M Duckett,0.0,6
418,Z S Ansari,83.33333333333334,6
419,D A S Gunaratne,270.0,10
420,H M R K B Herath*,88.88888888888889,9
421,C B R L S Kumara,0.0,29
422,P J Moor,350.0,4
423,C T Mumba,0.0,4
424,K A Maharaj,63.829787234042556,47
425,H Hameed,150.0,6
426,C J Ferguson,250.0,2
427,J M Mennie,100.0,2
428,J Yadav,214.28571428571428,7
429,J A Raval,157.57575757575756,33
430,C de Grandhomme,182.35294117647058,34
431,T Shamsi,25.0,4
432,M T Renshaw,289.4736842105263,19
433,P S P Handscomb,188.46153846153845,26
434,N J Maddinson,0.0,4
435,Azhar Ali*,142.85714285714286,7
436,Mohammad Rizwan,100.0,2
437,J C Buttler,126.66666666666666,30
438,G J Batty,0.0,2
439,P A Patel,85.71428571428571,7
440,K K Nair,50.0,8
441,K K Jennings,146.15384615384613,26
442,B K G Mendis,0.0,2
443,H W R Cartwright,133.33333333333331,3
444,Taskin Ahmed,20.0,5
445,Subashis Roy,0.0,4
446,D Olivier,0.0,14
447,Tamim Iqbal*,50.0,2
448,Najmul Hossain Shanto,228.57142857142856,7
449,Nurul Hasan,83.33333333333334,6
450,Mosaddeck Hossain,260.0,5
451,N T Broom,33.33333333333333,3
452,T B de Bruyn,84.21052631578947,19
453,A M Rahane*,200.0,3
454,Kuldeep Yadav,14.285714285714285,7
455,S O Hetmeyer,123.33333333333334,30
456,V A Singh,33.33333333333333,6
457,Mohammad Abbas,13.793103448275861,29
458,Shadab Khan,220.00000000000003,10
459,Hasan Ali,25.0,16
460,J E Root*,219.672131147541,61
461,L A Dawson,75.0,4
462,D Elgar*,125.0,4
463,H G Kuhn,87.5,8
464,T K Musakanda,0.0,2
465,P J Moor,233.33333333333334,6
466,L D Chandimal*,179.16666666666669,24
467,H H Pandya,194.11764705882354,17
468,M D Gunathilaka,66.66666666666666,15
469,T Westley,44.44444444444444,9
470,D J Malan,222.72727272727272,22
471,T S Roland-Jones,57.14285714285714,7
472,P M Pushpakumara,33.33333333333333,6
473,M D Stoneman,80.0,15
474,K A Hope,42.857142857142854,7
475,Haris Sohail,291.66666666666663,24
476,Sarfaraz Ahmed*,128.0,25
477,A K Markram,237.5,32
478,S Samarawickrama,160.0,5
479,P L S Gamage,20.0,5
480,A L Phehlukwayo,66.66666666666666,3
481,S F Mire,200.0,4
482,B R M Taylor,0.0,7
483,T S Chisoro,0.0,2
484,C T Bancroft,247.05882352941177,17
485,T D Paine,138.46153846153845,13
486,S W Ambris,70.0,10
487,T A Blundell,300.0,3
488,K C Brathwaite*,100.0,8
489,R A Reifer,100.0,2
490,C Overton,100.0,2
491,T K Curran,100.0,2
492,M S Crane,0.0,1
493,J J Bumrah,9.090909090909092,22
494,L Ngidi,0.0,9
495,Mushfiqur Rahim,240.0,10
496,Mahmudullah*,137.5,8
497,Sunzamul Islam,100.0,1
498,A R S Silva,153.33333333333334,15
499,A Dananjaya,37.5,8
500,M J Leach,50.0,16
501,T D Paine*,103.84615384615385,26
502,C J Sayers,0.0,2
503,Imam-ul-Haq,105.26315789473684,19
504,Faheem Ashraf,125.0,8
505,E C Joyce,0.0,2
506,W T S Porterfield*,33.33333333333333,6
507,A Balbirnie,200.0,6
508,N J O'Brien,0.0,2
509,P R Stirling,116.66666666666667,6
510,K J O'Brien,166.66666666666669,6
511,S R Thompson,0.0,6
512,T E Kane,100.0,2
513,G C Wilson,100.0,2
514,T J Murtagh,83.33333333333334,6
515,D M Bess,150.0,6
516,Usman Salahuddin,50.0,2
517,S M Curran,76.92307692307693,26
518,K D Karthik,25.0,4
519,Mohammad Shahzad,100.0,4
520,Javed Ahmadi,125.0,4
521,Rahmat Shah,337.5,8
522,Afsar Zazai,83.33333333333334,6
523,Hashmatullah Shahidi,183.33333333333331,6
524,Asghar Afghan*,100.0,4
525,Mohammad Nabi,83.33333333333334,6
526,Rashid Khan,0.0,4
527,Yamin Ahmadzai,12.5,8
528,Mujeeb Ur Rahman,100.0,2
529,Wafadar Momand,0.0,4
530,M L Udawatte,0.0,2
531,R A S Lakmal*,0.0,8
532,C A K Rajitha,0.0,7
533,Liton Das,66.66666666666666,9
534,Abu Jayed,0.0,11
535,K M A Paul,100.0,6
536,O J D Pope,229.99999999999997,10
537,R R Pant,209.52380952380955,21
538,P P Shaw,285.7142857142857,7
539,S H Lewis,0.0,4
540,Bilal Asif,0.0,8
541,A J Finch,175.0,8
542,T M Head,190.9090909090909,22
543,M Labuschagne,361.11111111111114,18
544,S N Thakur,0.0,2
545,Fakhar Zaman,200.0,6
546,Mir Hamza,0.0,2
547,W P Masakadza,50.0,2
548,B A Mavuta,0.0,2
549,Ariful Haque,133.33333333333331,3
550,Nazmul Islam,0.0,2
551,R J Burns,160.0,25
552,B T Foakes,137.5,8
553,Mohammad Mithun,75.0,8
554,A Y Patel,0.0,11
555,Shadman Islam,133.33333333333331,6
556,Nayeem Hasan,0.0,3
557,W E R Somerville,100.0,4
558,Shaheen Shah Afridi,0.0,11
559,M S Harris,81.81818181818183,11
560,G H Vihari,153.84615384615387,13
561,M A Agarwal,407.1428571428571,14
562,Z Hamza,187.5,8
563,J D Campbell,183.33333333333331,12
564,K R Patterson,450.0,2
565,J A Richardson,0.0,1
566,J L Denly,145.83333333333331,24
567,F D M Karunaratne*,200.0,9
568,B O P Fernando,83.33333333333334,6
569,L Embuldeniya,71.42857142857143,7
570,P W A Mulder,0.0,1
571,Khaled Ahmed,0.0,1
572,Ebadat Hossain,0.0,5
573,J A McCollum,150.0,4
574,S W Poynter,0.0,2
575,G H Dockrell,100.0,2
576,A R McBrine,0.0,4
577,J Cameron-Dow,0.0,2
578,Ihsanullah,16.666666666666664,6
579,Ikram Ali Khil,0.0,2
580,Waqar Salamkheil,0.0,2
581,Scorecards Menu,37.5,8
582,J J Roy,50.0,2
583,O P Stone,0.0,2
584,G C Wilson,0.0,2
585,M R Adair,93.33333333333333,15
586,M S Wade,9.090909090909092,11
587,J C Archer,233.33333333333334,6
