,Player Name,Average,Matches
480,T M K Mawoyo,131.57894736842107,19
481,C T Mutombodzi,280.0,5
482,M W Machan,150.0,2
483,M M Iqbal,0.0,1
484,D Murphy,233.33333333333334,3
485,S M Sharif,50.0,4
486,I Wardlaw,8.333333333333332,12
487,R M L Taylor,11.11111111111111,9
488,Nawroz Mangal,0.0,3
489,Rahmat Shah,0.0,1
490,Mohammad Nabi*,119.6078431372549,51
491,Raza-ur-Rehman,204.22535211267606,71
492,Rizwan Cheema*,0.0,1
493,N Dutta,167.85714285714286,56
494,R Pathan,111.11111111111111,9
495,I A Karim,33.33333333333333,3
496,R G Aga,0.0,1
497,K J Abbott,0.0,1
498,Ziaur Rahman,101.88679245283019,53
499,Abul Hasan,114.99999999999999,20
500,Q de Kock,8.333333333333332,12
501,M D K J Perera,77.77777777777779,18
502,A D Mathews*,171.42857142857142,7
503,Robiul Islam,137.5,16
504,Sikandar Raza,126.3157894736842,38
505,Umar Amin,245.83333333333334,24
506,Ehsan Adil,75.0,12
507,J N K Shannon,50.0,2
508,Asad Ali,371.9298245614035,57
509,L Ronchi,88.88888888888889,9
510,K D Karthik,0.0,2
511,D L Vettori,100.0,3
512,C H Morris,0.0,2
513,J Charles,231.81818181818184,22
514,D J G Sammy,177.77777777777777,9
515,C J Anderson,0.0,1
516,K J Coetzer*,194.11764705882354,34
517,F R J Coleman,37.5,8
518,N M Odhiambo,0.0,2
519,V Kohli*,0.0,4
520,K D Karthik,57.14285714285714,7
521,D L S van Bunge,175.0,4
522,M J Rippon,0.0,1
523,E Schiferli,60.0,5
524,Haris Sohail,140.0,10
525,L D Chandimal*,220.00000000000003,20
526,J Mubarak,0.0,1
527,A T Rayudu,0.0,1
528,J D Unadkat,300.0,2
529,B V Vitori,68.75,16
530,M T Chinouya,0.0,1
531,C A Pujara,37.5,16
532,T Maruma,0.0,2
533,B N Cooper,121.875,32
534,K Kamyuka,0.0,1
535,M C Sorensen,112.5,8
536,H J W Gardiner,133.33333333333331,6
537,P L Mommsen*,125.0,16
538,E J Richardson,60.0,5
539,G D Drummond,90.0,10
540,M A Carberry,0.0,1
541,N M Coulter-Nile,152.63157894736844,19
542,Fawad Ahmed,120.0,15
543,C J Jordan,20.0,5
544,D M Gondaria,0.0,1
545,Hashmatullah Shahidi,100.0,1
546,Gurdeep Singh,108.33333333333333,12
547,A P Devcich,105.71428571428572,35
548,Shamsur Rahman,56.52173913043478,23
549,Sohaib Maqsood,0.0,2
550,Bilawal Bhatti,137.5,8
551,Anwar Ali,0.0,1
552,H Davids,200.0,1
553,Sharjeel Khan,283.33333333333337,6
554,S M A Priyanjan,283.33333333333337,6
555,K D K Vithanage,12.5,8
556,D M Bravo*,0.0,6
557,C A K Walton,75.0,12
558,G S Ballance,80.0,5
559,M H Cross,150.0,2
560,M A Leask,98.18181818181819,55
561,T C Bastiampillai,100.0,1
562,S T R Binny,166.66666666666669,6
563,M A Ouma,100.0,4
564,R R Patel*,50.0,2
565,Anamul Haque,175.0,4
566,Mushfiqur Rahim*,150.0,16
567,Arafat Sunny,112.5,8
568,Al-Amin Hossain,30.0,10
569,S R Thompson,50.0,4
570,P C de Silva,53.84615384615385,13
571,M J Lumb,83.33333333333334,6
572,M M Ali,0.0,12
573,S C J Broad*,0.0,9
574,Fawad Alam,136.36363636363635,11
575,Mohammad Talha,87.5,8
576,Irfan Ahmed,114.28571428571428,7
577,Skhawit Ali,0.0,1
578,J J Atkinson*,250.0,2
579,Nizakat Khan,40.0,5
580,Babar Hayat,172.0,25
581,Waqas Barkat,166.66666666666669,3
582,Ankur Sharma,100.0,2
583,Tanwir Afzal,66.66666666666666,6
584,Haseeb Amjad,54.54545454545454,11
585,Nadeem Ahmed,57.89473684210527,19
586,Ehsan Nawaz,0.0,1
587,Usman Ghani,0.0,3
588,Shafiqullah,150.0,2
589,Amjad Ali,0.0,3
590,Salman Faris,15.384615384615385,13
591,Khurram Khan*,0.0,4
592,S P Patil,153.33333333333334,15
593,Shaiman Anwar,0.0,9
594,Mohammad Shahzad,16.666666666666664,6
595,Fayyaz Ahmed,0.0,3
596,Krishna Chandran,127.27272727272727,11
597,Ahmed Raza,7.142857142857142,14
598,Mohammad Naveed,77.77777777777779,18
599,Kamran Shahzad,43.75,16
600,H F Gurney,23.076923076923077,13
601,R V Uthappa,20.0,5
602,W P Saha,16.666666666666664,6
603,A R Patel,228.125,32
604,M M Sharma,236.0,25
605,Mohammad Mithun,209.30232558139537,43
606,Taskin Ahmed,165.11627906976744,43
607,Sharafuddin Ashraf,80.0,5
608,T Kamungozi,300.0,3
609,Nasir Jamal,15.0,20
610,Aftab Alam,0.0,7
611,R Mutumbami,0.0,3
612,D T Tiripano,0.0,1
613,L M Jongwe,0.0,1
614,N Madziva,0.0,1
615,J Nyumbu,0.0,3
616,R R Rossouw,0.0,4
617,B R M Taylor,284.61538461538464,13
618,A D Hales,50.0,8
